2024_ID,Status,Transitions
CITY OF CHICAGO:Ward 48 Precinct 20,Unchanged,"[{'new_id': 'CITY OF CHICAGO:Ward 48 Precinct 20', 'pct': 99.3}]"
CITY OF CHICAGO:Ward 48 Precinct 21,Unchanged,"[{'new_id': 'CITY OF CHICAGO:Ward 48 Precinct 21', 'pct': 99.89}]"
CITY OF CHICAGO:Ward 48 Precinct 22,Unchanged,"[{'new_id': 'CITY OF CHICAGO:Ward 48 Precinct 22', 'pct': 99.25}]"
CITY OF CHICAGO:Ward 48 Precinct 23,Unchanged,"[{'new_id': 'CITY OF CHICAGO:Ward 48 Precinct 23', 'pct': 99.8}]"
CITY OF CHICAGO:Ward 48 Precinct 24,Unchanged,"[{'new_id': 'CITY OF CHICAGO:Ward 48 Precinct 24', 'pct': 99.95}]"
CITY OF CHICAGO:Ward 48 Precinct 25,Unchanged,"[{'new_id': 'CITY OF CHICAGO:Ward 48 Precinct 25', 'pct': 99.92}]"
CITY OF CHICAGO:Ward 48 Precinct 26,Unchanged,"[{'new_id': 'CITY OF CHICAGO:Ward 48 Precinct 26', 'pct': 99.86}]"
CITY OF CHICAGO:Ward 48 Precinct 27,Unchanged,"[{'new_id': 'CITY OF CHICAGO:Ward 48 Precinct 27', 'pct': 99.92}]"
CITY OF CHICAGO:Ward 48 Precinct 28,Unchanged,"[{'new_id': 'CITY OF CHICAGO:Ward 48 Precinct 28', 'pct': 99.85}]"
CITY OF CHICAGO:Ward 48 Precinct 29,Unchanged,"[{'new_id': 'CITY OF CHICAGO:Ward 48 Precinct 29', 'pct': 99.51}]"
CITY OF CHICAGO:Ward 48 Precinct 30,Unchanged,"[{'new_id': 'CITY OF CHICAGO:Ward 48 Precinct 30', 'pct': 99.92}]"
CITY OF CHICAGO:Ward 48 Precinct 31,Unchanged,"[{'new_id': 'CITY OF CHICAGO:Ward 48 Precinct 31', 'pct': 99.9}]"
CITY OF CHICAGO:Ward 48 Precinct 32,Unchanged,"[{'new_id': 'CITY OF CHICAGO:Ward 48 Precinct 32', 'pct': 99.86}]"
CITY OF CHICAGO:Ward 48 Precinct 33,Unchanged,"[{'new_id': 'CITY OF CHICAGO:Ward 48 Precinct 33', 'pct': 99.77}]"
CITY OF CHICAGO:Ward 48 Precinct 34,Unchanged,"[{'new_id': 'CITY OF CHICAGO:Ward 48 Precinct 34', 'pct': 99.91}]"
CITY OF CHICAGO:Ward 48 Precinct 35,Unchanged,"[{'new_id': 'CITY OF CHICAGO:Ward 48 Precinct 35', 'pct': 99.92}]"
CITY OF CHICAGO:Ward 49 Precinct 01,Unchanged,"[{'new_id': 'CITY OF CHICAGO:Ward 49 Precinct 01', 'pct': 99.93}]"
CITY OF CHICAGO:Ward 49 Precinct 02,Unchanged,"[{'new_id': 'CITY OF CHICAGO:Ward 49 Precinct 02', 'pct': 99.9}]"
CITY OF CHICAGO:Ward 49 Precinct 03,Unchanged,"[{'new_id': 'CITY OF CHICAGO:Ward 49 Precinct 03', 'pct': 99.96}]"
CITY OF CHICAGO:Ward 49 Precinct 04,Unchanged,"[{'new_id': 'CITY OF CHICAGO:Ward 49 Precinct 04', 'pct': 99.93}]"
CITY OF CHICAGO:Ward 49 Precinct 05,Unchanged,"[{'new_id': 'CITY OF CHICAGO:Ward 49 Precinct 05', 'pct': 99.94}]"
CITY OF CHICAGO:Ward 49 Precinct 06,Unchanged,"[{'new_id': 'CITY OF CHICAGO:Ward 49 Precinct 06', 'pct': 99.88}]"
CITY OF CHICAGO:Ward 49 Precinct 07,Unchanged,"[{'new_id': 'CITY OF CHICAGO:Ward 49 Precinct 07', 'pct': 99.93}]"
