JoinField,PresDem,PresRep,PresTot,tot_vote_2018_weighted,,board,portion,
CITY OF CHICAGO:Ward 47 Precinct 04,1086,77,1185,577.986234,CITY OF CHICAGO:WARD 47 PRECINCT 04,CITY OF CHICAGO,0.532215685,578
CITY OF CHICAGO:Ward 46 Precinct 15,1345,213,1592,577.2153687,CITY OF CHICAGO:WARD 46 PRECINCT 15,CITY OF CHICAGO,0.429156408,577
CITY OF CHICAGO:Ward 21 Precinct 11,866,58,935,575.2025471,CITY OF CHICAGO:WARD 21 PRECINCT 11,CITY OF CHICAGO,0.664206175,575
CITY OF CHICAGO:Ward 35 Precinct 22,847,227,1100,574.7875767,CITY OF CHICAGO:WARD 35 PRECINCT 22,CITY OF CHICAGO,0.678615793,575
CITY OF CHICAGO:Ward 19 Precinct 07,538,539,1101,574.6369354,CITY OF CHICAGO:WARD 19 PRECINCT 07,CITY OF CHICAGO,1.068098393,575
CITY OF CHICAGO:Ward 41 Precinct 29,697,641,1364,574.6230634,CITY OF CHICAGO:WARD 41 PRECINCT 29,CITY OF CHICAGO,0.824423333,575
CITY OF CHICAGO:Ward 12 Precinct 05,323,229,567,572.7287004,CITY OF CHICAGO:WARD 12 PRECINCT 05,CITY OF CHICAGO,1.773153871,573
CITY OF CHICAGO:Ward 08 Precinct 19,925,71,1012,571.6533082,CITY OF CHICAGO:WARD 08 PRECINCT 19,CITY OF CHICAGO,0.618003576,572
CITY OF CHICAGO:Ward 04 Precinct 26,884,156,1059,571.3446477,CITY OF CHICAGO:WARD 04 PRECINCT 26,CITY OF CHICAGO,0.646317475,571
CITY OF CHICAGO:Ward 44 Precinct 15,1423,192,1639,570.3411687,CITY OF CHICAGO:WARD 44 PRECINCT 15,CITY OF CHICAGO,0.400801946,570
CITY OF CHICAGO:Ward 01 Precinct 02,995,100,1123,569.6105855,CITY OF CHICAGO:WARD 01 PRECINCT 02,CITY OF CHICAGO,0.57247295,570
CITY OF CHICAGO:Ward 19 Precinct 01,572,552,1137,567.5272417,CITY OF CHICAGO:WARD 19 PRECINCT 01,CITY OF CHICAGO,0.992180493,568
CITY OF CHICAGO:Ward 21 Precinct 08,818,61,888,566.8055204,CITY OF CHICAGO:WARD 21 PRECINCT 08,CITY OF CHICAGO,0.692916284,567
CITY OF CHICAGO:Ward 47 Precinct 19,1142,103,1263,565.911402,CITY OF CHICAGO:WARD 47 PRECINCT 19,CITY OF CHICAGO,0.495544135,566
