2024_ID,Status,Transitions,new_id
CITY OF CHICAGO:Ward 46 Precinct 09,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 10', 'pct': 95.74}",CITY OF CHICAGO:Ward 46 Precinct 10
CITY OF CHICAGO:Ward 46 Precinct 09,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 10', 'pct': 4.26}",CITY OF CHICAGO:Ward 46 Precinct 10
CITY OF CHICAGO:Ward 46 Precinct 10,Unchanged,"{'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 10', 'pct': 99.96}",CITY OF CHICAGO:Ward 46 Precinct 10
CITY OF CHICAGO:Ward 46 Precinct 11,Unchanged,"{'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 11', 'pct': 99.87}",CITY OF CHICAGO:Ward 46 Precinct 11
CITY OF CHICAGO:Ward 46 Precinct 12,Unchanged,"{'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 12', 'pct': 99.86}",CITY OF CHICAGO:Ward 46 Precinct 12
CITY OF CHICAGO:Ward 46 Precinct 13,Unchanged,"{'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 13', 'pct': 99.89}",CITY OF CHICAGO:Ward 46 Precinct 13
CITY OF CHICAGO:Ward 46 Precinct 14,Unchanged,"{'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 14', 'pct': 99.73}",CITY OF CHICAGO:Ward 46 Precinct 14
CITY OF CHICAGO:Ward 46 Precinct 15,Unchanged,"{'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 15', 'pct': 99.85}",CITY OF CHICAGO:Ward 46 Precinct 15
CITY OF CHICAGO:Ward 46 Precinct 16,Unchanged,"{'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 16', 'pct': 99.97}",CITY OF CHICAGO:Ward 46 Precinct 16
CITY OF CHICAGO:Ward 46 Precinct 17,Unchanged,"{'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 17', 'pct': 99.92}",CITY OF CHICAGO:Ward 46 Precinct 17
CITY OF CHICAGO:Ward 46 Precinct 18,Unchanged,"{'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 18', 'pct': 99.93}",CITY OF CHICAGO:Ward 46 Precinct 18
CITY OF CHICAGO:Ward 46 Precinct 19,Unchanged,"{'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 19', 'pct': 99.9}",CITY OF CHICAGO:Ward 46 Precinct 19
CITY OF CHICAGO:Ward 46 Precinct 20,Unchanged,"{'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 20', 'pct': 99.89}",CITY OF CHICAGO:Ward 46 Precinct 20
CITY OF CHICAGO:Ward 46 Precinct 21,Unchanged,"{'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 21', 'pct': 99.88}",CITY OF CHICAGO:Ward 46 Precinct 21
CITY OF CHICAGO:Ward 46 Precinct 22,Unchanged,"{'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 22', 'pct': 99.91}",CITY OF CHICAGO:Ward 46 Precinct 22
CITY OF CHICAGO:Ward 46 Precinct 23,Unchanged,"{'new_id': 'CITY OF CHICAGO:Ward 46 Precinct 23', 'pct': 99.91}",CITY OF CHICAGO:Ward 46 Precinct 23
